Category,Subcategory,SKU,ItemName,VendorName,YourPrice,BenchmarkPrice,UnitsPerYear,AnnualSpend,PriceIndex,SavingsOpportunity,CategoryStatus
Cardiology,Stents & Catheters,CRT-9920,Drug Eluting Stent - 15mm,Boston Scientific,2850.00,2200.00,450,1282500.00,1.30,292500.00,High Variance
Cardiology,Stents & Catheters,CRT-9921,PTCA Balloon Catheter,Medtronic,1650.00,1400.00,680,1122000.00,1.18,170000.00,Above Market
Cardiology,Stents & Catheters,CRT-9922,Guide Catheter 6F,Abbott Vascular,890.00,850.00,920,818800.00,1.05,36800.00,Above Market
Cardiology,Stents & Catheters,CRT-9923,Coronary Guidewire,Boston Scientific,425.00,380.00,1250,531250.00,1.12,56250.00,Above Market
Cardiology,Pacemakers,CRT-8801,Dual Chamber Pacemaker,Medtronic,4200.00,3200.00,180,756000.00,1.31,180000.00,High Variance
Cardiology,Pacemakers,CRT-8802,Single Chamber Pacemaker,Abbott Medical,3100.00,2800.00,220,682000.00,1.11,66000.00,Above Market
Cardiology,Imaging,CRT-7701,Intravascular Ultrasound Catheter,Boston Scientific,1850.00,1500.00,340,629000.00,1.23,119000.00,High Variance
Cardiology,Imaging,CRT-7702,FFR Pressure Wire,Philips Healthcare,980.00,920.00,480,470400.00,1.07,28800.00,Above Market
Cardiology,Closure Devices,CRT-6601,Vascular Closure Device,Terumo Medical,650.00,580.00,890,578500.00,1.12,62300.00,Above Market
Cardiology,Closure Devices,CRT-6602,Hemostasis Valve,Merit Medical,280.00,270.00,1450,406000.00,1.04,14500.00,Market Par
Cardiology,Diagnostic,CRT-5501,Diagnostic Catheter 5F,Cordis Medical,520.00,500.00,780,405600.00,1.04,15600.00,Market Par
Cardiology,Diagnostic,CRT-5502,Introducer Sheath 6F,Cook Medical,195.00,200.00,2100,409500.00,0.98,0.00,Below Market
Cardiology,Accessories,CRT-4401,Y-Connector Manifold,Smiths Medical,85.00,90.00,3200,272000.00,0.94,0.00,Below Market
Cardiology,Accessories,CRT-4402,Contrast Media Injection System,Medrad,1250.00,1280.00,240,300000.00,0.98,0.00,Below Market
Orthopedics,Implants,ORT-5510,Total Knee Replacement System,Zimmer Biomet,4500.00,4400.00,320,1440000.00,1.02,32000.00,Market Par
Orthopedics,Implants,ORT-5511,Hip Stem Implant,Stryker,3800.00,3750.00,280,1064000.00,1.01,14000.00,Market Par
Orthopedics,Implants,ORT-5512,Acetabular Cup,DePuy Synthes,2900.00,2850.00,290,841000.00,1.02,14500.00,Market Par
Orthopedics,Implants,ORT-5513,Spinal Fusion Cage,Medtronic,3200.00,3100.00,210,672000.00,1.03,21000.00,Market Par
Orthopedics,Implants,ORT-5514,Intramedullary Nail,Smith & Nephew,2100.00,2050.00,380,798000.00,1.02,19000.00,Market Par
Orthopedics,Implants,ORT-5515,Bone Plate System,Stryker,1850.00,1820.00,450,832500.00,1.02,13500.00,Market Par
Orthopedics,Instruments,ORT-4420,Surgical Drill System,Zimmer Biomet,4200.00,4100.00,85,357000.00,1.02,8500.00,Market Par
Orthopedics,Instruments,ORT-4421,Bone Saw Electric,Stryker,3500.00,3450.00,90,315000.00,1.01,4500.00,Market Par
Orthopedics,Instruments,ORT-4422,Reamer Set,DePuy Synthes,2800.00,2750.00,120,336000.00,1.02,6000.00,Market Par
Orthopedics,Fixation,ORT-3330,Orthopedic Screws Titanium,Zimmer Biomet,125.00,120.00,2800,350000.00,1.04,14000.00,Market Par
Orthopedics,Fixation,ORT-3331,Bone Cement,Stryker,280.00,270.00,1100,308000.00,1.04,11000.00,Market Par
Orthopedics,Fixation,ORT-3332,K-Wire Set,Smith & Nephew,95.00,92.00,1850,175750.00,1.03,5550.00,Market Par
Orthopedics,Trauma,ORT-2240,External Fixator,Zimmer Biomet,2400.00,2350.00,140,336000.00,1.02,7000.00,Market Par
Orthopedics,Trauma,ORT-2241,Locking Plate System,DePuy Synthes,1650.00,1600.00,260,429000.00,1.03,13000.00,Market Par
Orthopedics,Arthroscopy,ORT-1150,Arthroscopic Shaver,Smith & Nephew,3200.00,3150.00,110,352000.00,1.02,5500.00,Market Par
Orthopedics,Arthroscopy,ORT-1151,Meniscal Repair Device,Arthrex,850.00,830.00,340,289000.00,1.02,6800.00,Market Par
Lab Supplies,Reagents,LAB-8801,Chemistry Reagent Panel A,Roche Diagnostics,450.00,480.00,580,261000.00,0.94,0.00,Below Market
Lab Supplies,Reagents,LAB-8802,Hematology Reagent Kit,Sysmex America,380.00,400.00,720,273600.00,0.95,0.00,Below Market
Lab Supplies,Reagents,LAB-8803,Immunoassay Reagent,Abbott Diagnostics,520.00,540.00,640,332800.00,0.96,0.00,Below Market
Lab Supplies,Reagents,LAB-8804,Microbiology Culture Media,BD Diagnostics,290.00,300.00,890,258100.00,0.97,0.00,Below Market
Lab Supplies,Reagents,LAB-8805,Blood Gas Cartridge,Siemens Healthineers,185.00,190.00,1450,268250.00,0.97,0.00,Below Market
Lab Supplies,Reagents,LAB-8806,Urinalysis Reagent Strips,Siemens Healthineers,95.00,98.00,2200,209000.00,0.97,0.00,Below Market
Lab Supplies,Consumables,LAB-7710,Pipette Tips 200uL,Eppendorf,55.00,58.00,3800,209000.00,0.95,0.00,Below Market
Lab Supplies,Consumables,LAB-7711,Microcentrifuge Tubes,Corning,42.00,45.00,4200,176400.00,0.93,0.00,Below Market
Lab Supplies,Consumables,LAB-7712,Blood Collection Tubes EDTA,BD Vacutainer,38.00,40.00,4800,182400.00,0.95,0.00,Below Market
Lab Supplies,Consumables,LAB-7713,Specimen Transport Bags,Fisher Scientific,28.00,30.00,5000,140000.00,0.93,0.00,Below Market
Lab Supplies,Instruments,LAB-6620,Automated Analyzer Maintenance Kit,Roche Diagnostics,1850.00,1900.00,48,88800.00,0.97,0.00,Below Market
Lab Supplies,Instruments,LAB-6621,Centrifuge Rotor,Eppendorf,2400.00,2450.00,32,76800.00,0.98,0.00,Below Market
Lab Supplies,Quality Control,LAB-5530,QC Material Level 1,Bio-Rad,320.00,330.00,280,89600.00,0.97,0.00,Below Market
Lab Supplies,Quality Control,LAB-5531,QC Material Level 2,Bio-Rad,340.00,350.00,280,95200.00,0.97,0.00,Below Market
Lab Supplies,Quality Control,LAB-5532,Proficiency Testing Kit,CAP,450.00,460.00,120,54000.00,0.98,0.00,Below Market
Lab Supplies,Calibration,LAB-4440,Calibrator Multi-Analyte,Roche Diagnostics,580.00,600.00,180,104400.00,0.97,0.00,Below Market
Lab Supplies,Calibration,LAB-4441,Standards Set,Siemens Healthineers,420.00,440.00,220,92400.00,0.95,0.00,Below Market
Pharmacy,Oncology,PHR-9901,Chemotherapy Drug A,Pfizer,2800.00,2850.00,240,672000.00,0.98,0.00,Below Market
Pharmacy,Oncology,PHR-9902,Chemotherapy Drug B,Bristol Myers Squibb,3200.00,3300.00,180,576000.00,0.97,0.00,Below Market
Pharmacy,Oncology,PHR-9903,Monoclonal Antibody Therapy,Roche Pharmaceuticals,4500.00,4600.00,120,540000.00,0.98,0.00,Below Market
Pharmacy,Oncology,PHR-9904,Targeted Therapy Agent,Novartis,3800.00,3900.00,95,361000.00,0.97,0.00,Below Market
Pharmacy,Antibiotics,PHR-8810,IV Antibiotic Broad Spectrum A,Merck,185.00,190.00,1800,333000.00,0.97,0.00,Below Market
Pharmacy,Antibiotics,PHR-8811,IV Antibiotic Broad Spectrum B,Pfizer,220.00,225.00,1400,308000.00,0.98,0.00,Below Market
Pharmacy,Antibiotics,PHR-8812,Oral Antibiotic Course,GSK,95.00,98.00,2400,228000.00,0.97,0.00,Below Market
Pharmacy,Antibiotics,PHR-8813,Antifungal IV,Gilead Sciences,580.00,600.00,420,243600.00,0.97,0.00,Below Market
Pharmacy,Anesthesia,PHR-7720,Propofol 1000mg,Fresenius Kabi,85.00,88.00,2800,238000.00,0.97,0.00,Below Market
Pharmacy,Anesthesia,PHR-7721,Fentanyl 500mcg,Pfizer,42.00,45.00,3200,134400.00,0.93,0.00,Below Market
Pharmacy,Anesthesia,PHR-7722,Rocuronium 50mg,Merck,68.00,70.00,2100,142800.00,0.97,0.00,Below Market
Pharmacy,Anesthesia,PHR-7723,Sevoflurane 250mL,Abbott,125.00,130.00,980,122500.00,0.96,0.00,Below Market
Pharmacy,IV Solutions,PHR-6630,Normal Saline 1000mL,Baxter,12.00,12.50,8500,102000.00,0.96,0.00,Below Market
Pharmacy,IV Solutions,PHR-6631,Lactated Ringers 1000mL,B Braun,13.00,13.50,7200,93600.00,0.96,0.00,Below Market
Pharmacy,IV Solutions,PHR-6632,Dextrose 5% 1000mL,Baxter,14.00,15.00,6400,89600.00,0.93,0.00,Below Market
Pharmacy,Pain Management,PHR-5540,Morphine Sulfate 10mg,Hospira,28.00,30.00,2400,67200.00,0.93,0.00,Below Market
Pharmacy,Pain Management,PHR-5541,Hydromorphone 2mg,Pfizer,35.00,37.00,1800,63000.00,0.95,0.00,Below Market
Pharmacy,Pain Management,PHR-5542,Ketorolac 30mg,Fresenius Kabi,22.00,24.00,2600,57200.00,0.92,0.00,Below Market
Pharmacy,Cardiovascular,PHR-4450,Heparin 10000 Units,Pfizer,45.00,48.00,3200,144000.00,0.94,0.00,Below Market
Pharmacy,Cardiovascular,PHR-4451,Nitroglycerin IV,Pfizer,95.00,98.00,850,80750.00,0.97,0.00,Below Market
Pharmacy,Cardiovascular,PHR-4452,Amiodarone 150mg,Baxter,52.00,55.00,1200,62400.00,0.95,0.00,Below Market
Imaging,Contrast Media,IMG-8801,Iodinated Contrast 100mL,GE Healthcare,85.00,88.00,2400,204000.00,0.97,0.00,Below Market
Imaging,Contrast Media,IMG-8802,Gadolinium Contrast 15mL,Bayer Healthcare,120.00,125.00,1800,216000.00,0.96,0.00,Below Market
Imaging,Contrast Media,IMG-8803,Barium Sulfate Suspension,Bracco Diagnostics,45.00,48.00,950,42750.00,0.94,0.00,Below Market
Imaging,Film & Storage,IMG-7710,X-Ray Film 14x17,Carestream Health,8.50,9.00,4200,35700.00,0.94,0.00,Below Market
Imaging,Film & Storage,IMG-7711,CR Imaging Plate,Fujifilm Medical,450.00,470.00,180,81000.00,0.96,0.00,Below Market
Imaging,Film & Storage,IMG-7712,PACS Storage Module 10TB,Philips Healthcare,4200.00,4300.00,24,100800.00,0.98,0.00,Below Market
Imaging,Ultrasound,IMG-6620,Ultrasound Gel 5L,Parker Labs,32.00,35.00,1200,38400.00,0.91,0.00,Below Market
Imaging,Ultrasound,IMG-6621,Ultrasound Probe Cover,Civco Medical,4.50,5.00,4800,21600.00,0.90,0.00,Below Market
Imaging,Ultrasound,IMG-6622,Transducer Cleaning Wipes,GE Healthcare,28.00,30.00,950,26600.00,0.93,0.00,Below Market
Imaging,Nuclear Medicine,IMG-5530,Technetium Generator,Cardinal Health,2400.00,2450.00,52,124800.00,0.98,0.00,Below Market
Imaging,Nuclear Medicine,IMG-5531,Lead Syringe Shield,Biodex Medical,380.00,400.00,48,18240.00,0.95,0.00,Below Market
Imaging,Nuclear Medicine,IMG-5532,Dose Calibrator QC Kit,Fluke Biomedical,650.00,680.00,36,23400.00,0.96,0.00,Below Market
Imaging,Radiation Protection,IMG-4440,Lead Apron 0.5mm,Infab Corporation,420.00,440.00,85,35700.00,0.95,0.00,Below Market
Imaging,Radiation Protection,IMG-4441,Thyroid Shield,Barrier Technologies,95.00,100.00,140,13300.00,0.95,0.00,Below Market
Imaging,Radiation Protection,IMG-4442,Radiation Dosimeter Badge,Landauer,15.00,16.00,1200,18000.00,0.94,0.00,Below Market
Imaging,CT Supplies,IMG-3330,CT Injector Syringe,Medrad,28.00,30.00,2400,67200.00,0.93,0.00,Below Market
Imaging,CT Supplies,IMG-3331,CT Table Pad,Philips Healthcare,185.00,195.00,48,8880.00,0.95,0.00,Below Market
Imaging,MRI Supplies,IMG-2240,MRI Coil Head,Siemens Healthineers,3800.00,3900.00,18,68400.00,0.97,0.00,Below Market
Imaging,MRI Supplies,IMG-2241,MRI Safety Screening System,Mednovus,2100.00,2200.00,12,25200.00,0.95,0.00,Below Market
General Med/Surg,Surgical Instruments,GMS-9901,Laparoscopic Trocar Set,Covidien,850.00,820.00,280,238000.00,1.04,8400.00,Market Par
General Med/Surg,Surgical Instruments,GMS-9902,Surgical Stapler Linear,Ethicon,420.00,410.00,680,285600.00,1.02,6800.00,Market Par
General Med/Surg,Surgical Instruments,GMS-9903,Electrosurgical Pencil,Medtronic,95.00,92.00,1850,175750.00,1.03,5550.00,Market Par
General Med/Surg,Surgical Instruments,GMS-9904,Suction Tubing,Cardinal Health,8.50,8.80,5000,42500.00,0.97,0.00,Below Market
General Med/Surg,Wound Care,GMS-8810,Advanced Wound Dressing 4x4,Smith & Nephew,12.50,12.00,3200,40000.00,1.04,1600.00,Market Par
General Med/Surg,Wound Care,GMS-8811,Negative Pressure Wound System,KCI,3200.00,3100.00,95,304000.00,1.03,9500.00,Market Par
General Med/Surg,Wound Care,GMS-8812,Hydrocolloid Dressing,ConvaTec,8.50,8.20,4200,35700.00,1.04,1260.00,Market Par
General Med/Surg,Wound Care,GMS-8813,Surgical Tape 1 inch,3M Healthcare,4.50,4.80,6800,30600.00,0.94,0.00,Below Market
General Med/Surg,Catheters,GMS-7720,Foley Catheter 16Fr,Bard Medical,8.50,8.20,4800,40800.00,1.04,1440.00,Market Par
General Med/Surg,Catheters,GMS-7721,Central Line Kit,Arrow International,185.00,180.00,850,157250.00,1.03,4250.00,Market Par
General Med/Surg,Catheters,GMS-7722,Nasogastric Tube 16Fr,Covidien,6.50,6.80,3200,20800.00,0.96,0.00,Below Market
General Med/Surg,Catheters,GMS-7723,Chest Tube 28Fr,Teleflex Medical,85.00,82.00,480,40800.00,1.04,1440.00,Market Par
General Med/Surg,Respiratory,GMS-6630,Oxygen Mask Non-Rebreather,Cardinal Health,4.50,4.80,5200,23400.00,0.94,0.00,Below Market
General Med/Surg,Respiratory,GMS-6631,Endotracheal Tube 7.5mm,Medtronic,12.50,12.00,1800,22500.00,1.04,900.00,Market Par
General Med/Surg,Respiratory,GMS-6632,Tracheostomy Tube 8.0mm,Shiley,95.00,92.00,380,36100.00,1.03,1140.00,Market Par
General Med/Surg,Respiratory,GMS-6633,Yankauer Suction Tip,Cardinal Health,2.80,3.00,6400,17920.00,0.93,0.00,Below Market
General Med/Surg,IV Access,GMS-5540,IV Catheter 20G,BD Medical,2.50,2.60,8500,21250.00,0.96,0.00,Below Market
General Med/Surg,IV Access,GMS-5541,IV Extension Set,Baxter,3.80,4.00,6200,23560.00,0.95,0.00,Below Market
General Med/Surg,IV Access,GMS-5542,IV Start Kit,BD Medical,6.50,6.80,4800,31200.00,0.96,0.00,Below Market
General Med/Surg,IV Access,GMS-5543,Needleless Connector,ICU Medical,4.20,4.50,7200,30240.00,0.93,0.00,Below Market
General Med/Surg,Gloves & PPE,GMS-4450,Surgical Gloves Sterile Size 7.5,Ansell,1.80,1.90,12000,21600.00,0.95,0.00,Below Market
General Med/Surg,Gloves & PPE,GMS-4451,Nitrile Exam Gloves Large,Cardinal Health,0.35,0.38,45000,15750.00,0.92,0.00,Below Market
General Med/Surg,Gloves & PPE,GMS-4452,Surgical Gown Level 4,Cardinal Health,8.50,8.80,2800,23800.00,0.97,0.00,Below Market
General Med/Surg,Gloves & PPE,GMS-4453,N95 Respirator Mask,3M Healthcare,2.50,2.60,8500,21250.00,0.96,0.00,Below Market
General Med/Surg,Drapes & Packs,GMS-3330,Surgical Drape Pack Universal,Cardinal Health,45.00,46.00,1200,54000.00,0.98,0.00,Below Market
General Med/Surg,Drapes & Packs,GMS-3331,Hip Drape Pack,Halyard Health,65.00,67.00,580,37700.00,0.97,0.00,Below Market
General Med/Surg,Drapes & Packs,GMS-3332,Laparoscopy Drape Pack,Covidien,75.00,78.00,650,48750.00,0.96,0.00,Below Market
General Med/Surg,Needles & Syringes,GMS-2240,Syringe 10mL Luer Lock,BD Medical,0.45,0.48,15000,6750.00,0.94,0.00,Below Market
General Med/Surg,Needles & Syringes,GMS-2241,Needle 22G 1.5 inch,BD Medical,0.28,0.30,18000,5040.00,0.93,0.00,Below Market
General Med/Surg,Needles & Syringes,GMS-2242,Safety Syringe 3mL,Retractable Technologies,0.85,0.88,9500,8075.00,0.97,0.00,Below Market
General Med/Surg,Sharps Management,GMS-1150,Sharps Container 5 Quart,Covidien,8.50,8.80,1800,15300.00,0.97,0.00,Below Market
General Med/Surg,Sharps Management,GMS-1151,Biohazard Bag Red,Stericycle,0.65,0.68,12000,7800.00,0.96,0.00,Below Market
Cardiology,Valves,CRT-3301,Transcatheter Aortic Valve,Edwards Lifesciences,28500.00,24000.00,45,1282500.00,1.19,202500.00,High Variance
Cardiology,Valves,CRT-3302,Mitral Valve Repair Device,Abbott Vascular,32000.00,27500.00,32,1024000.00,1.16,144000.00,High Variance
Cardiology,Electrophysiology,CRT-2201,Ablation Catheter RF,Biosense Webster,3800.00,3200.00,180,684000.00,1.19,108000.00,High Variance
Cardiology,Electrophysiology,CRT-2202,EP Mapping System Catheter,Abbott Medical,4200.00,3500.00,140,588000.00,1.20,98000.00,High Variance
Cardiology,Electrophysiology,CRT-2203,Cryoablation Catheter,Medtronic,5200.00,4400.00,95,494000.00,1.18,76000.00,High Variance
Cardiology,Vascular,CRT-1101,Peripheral Stent 6mm,Boston Scientific,2200.00,1850.00,280,616000.00,1.19,98000.00,High Variance
Cardiology,Vascular,CRT-1102,Carotid Stent System,Abbott Vascular,2800.00,2400.00,160,448000.00,1.17,64000.00,Above Market
Cardiology,Vascular,CRT-1103,AAA Stent Graft,Medtronic,18500.00,16000.00,28,518000.00,1.16,70000.00,High Variance
Orthopedics,Biologics,ORT-6601,Bone Graft Substitute,Medtronic,3800.00,3700.00,140,532000.00,1.03,14000.00,Market Par
Orthopedics,Biologics,ORT-6602,Bone Morphogenetic Protein,Medtronic,8500.00,8300.00,48,408000.00,1.02,9600.00,Market Par
Orthopedics,Shoulder,ORT-7701,Reverse Shoulder System,Zimmer Biomet,4200.00,4100.00,95,399000.00,1.02,9500.00,Market Par
Orthopedics,Shoulder,ORT-7702,Rotator Cuff Repair,Arthrex,2400.00,2350.00,180,432000.00,1.02,9000.00,Market Par
Lab Supplies,Molecular,LAB-9901,PCR Test Kit,Qiagen,185.00,190.00,680,125800.00,0.97,0.00,Below Market
Lab Supplies,Molecular,LAB-9902,RNA Extraction Kit,Thermo Fisher,220.00,230.00,480,105600.00,0.96,0.00,Below Market
Lab Supplies,Molecular,LAB-9903,DNA Sequencing Reagent,Illumina,850.00,880.00,180,153000.00,0.97,0.00,Below Market
Lab Supplies,Pathology,LAB-3301,Microtome Blade,Leica Biosystems,12.50,13.00,1800,22500.00,0.96,0.00,Below Market
Lab Supplies,Pathology,LAB-3302,Tissue Cassette,Fisher Scientific,0.45,0.48,8500,3825.00,0.94,0.00,Below Market
Lab Supplies,Pathology,LAB-3303,Embedding Medium,Sakura Finetek,85.00,88.00,420,35700.00,0.97,0.00,Below Market
Lab Supplies,Blood Bank,LAB-2201,Blood Bag System,Terumo BCT,28.00,30.00,1200,33600.00,0.93,0.00,Below Market
Lab Supplies,Blood Bank,LAB-2202,Platelet Storage Bag,Fresenius Kabi,32.00,34.00,950,30400.00,0.94,0.00,Below Market
Lab Supplies,Blood Bank,LAB-2203,Blood Typing Reagent,Ortho Clinical,85.00,88.00,480,40800.00,0.97,0.00,Below Market
Pharmacy,Immunology,PHR-3301,Immunoglobulin IV,Grifols,1850.00,1900.00,240,444000.00,0.97,0.00,Below Market
Pharmacy,Immunology,PHR-3302,Immunosuppressant Agent,Novartis,2400.00,2500.00,140,336000.00,0.96,0.00,Below Market
Pharmacy,Emergency,PHR-2201,Epinephrine 1mg,Pfizer,18.00,20.00,2800,50400.00,0.90,0.00,Below Market
Pharmacy,Emergency,PHR-2202,Atropine 1mg,Hospira,15.00,16.00,2400,36000.00,0.94,0.00,Below Market
Pharmacy,Emergency,PHR-2203,Naloxone 2mg,Amphastar,28.00,30.00,1800,50400.00,0.93,0.00,Below Market
Pharmacy,Insulin,PHR-1101,Insulin Rapid Acting,Novo Nordisk,185.00,195.00,850,157250.00,0.95,0.00,Below Market
Pharmacy,Insulin,PHR-1102,Insulin Long Acting,Sanofi,220.00,230.00,720,158400.00,0.96,0.00,Below Market
Imaging,Interventional,IMG-9901,Angiography Catheter,Boston Scientific,650.00,680.00,480,312000.00,0.96,0.00,Below Market
Imaging,Interventional,IMG-9902,Embolization Coil,Medtronic,2800.00,2900.00,95,266000.00,0.97,0.00,Below Market
Imaging,Interventional,IMG-9903,Vascular Sheath,Terumo Medical,185.00,195.00,680,125800.00,0.95,0.00,Below Market
General Med/Surg,Orthopedic Supplies,GMS-9910,Cast Material Fiberglass,3M Healthcare,18.00,19.00,1400,25200.00,0.95,0.00,Below Market
General Med/Surg,Orthopedic Supplies,GMS-9911,Splint Foam Padded,DeRoyal,12.50,13.00,2100,26250.00,0.96,0.00,Below Market
General Med/Surg,Orthopedic Supplies,GMS-9912,Crutches Adjustable,Drive Medical,35.00,38.00,480,16800.00,0.92,0.00,Below Market
General Med/Surg,Patient Monitoring,GMS-8820,ECG Electrode,3M Healthcare,0.45,0.48,18000,8100.00,0.94,0.00,Below Market
General Med/Surg,Patient Monitoring,GMS-8821,SpO2 Sensor Disposable,Masimo,8.50,9.00,2800,23800.00,0.94,0.00,Below Market
General Med/Surg,Patient Monitoring,GMS-8822,Temperature Probe Disposable,Covidien,6.50,7.00,3200,20800.00,0.93,0.00,Below Market
General Med/Surg,Bedding,GMS-7730,Patient Gown,Cardinal Health,4.50,4.80,8500,38250.00,0.94,0.00,Below Market
General Med/Surg,Bedding,GMS-7731,Bed Pad Disposable,Medline,2.80,3.00,12000,33600.00,0.93,0.00,Below Market
General Med/Surg,Bedding,GMS-7732,Pillow Case Disposable,Cardinal Health,1.20,1.30,15000,18000.00,0.92,0.00,Below Market
Cardiology,Support Devices,CRT-0001,Intra-Aortic Balloon Pump Catheter,Teleflex Medical,1850.00,1500.00,85,157250.00,1.23,29750.00,High Variance
Cardiology,Support Devices,CRT-0002,LVAD Component Set,Abbott Medical,12500.00,10500.00,18,225000.00,1.19,36000.00,High Variance
Orthopedics,Sports Medicine,ORT-8801,ACL Reconstruction System,Arthrex,2800.00,2750.00,140,392000.00,1.02,7000.00,Market Par
Orthopedics,Sports Medicine,ORT-8802,Suture Anchor 5.5mm,Smith & Nephew,280.00,275.00,580,162400.00,1.02,2900.00,Market Par
Orthopedics,Sports Medicine,ORT-8803,Soft Tissue Allograft,MTF Biologics,1850.00,1820.00,95,175750.00,1.02,2850.00,Market Par
Lab Supplies,Cytology,LAB-1101,Cytology Brush,Cook Medical,12.50,13.00,950,11875.00,0.96,0.00,Below Market
Lab Supplies,Cytology,LAB-1102,Liquid Cytology Vial,Hologic,8.50,9.00,1800,15300.00,0.94,0.00,Below Market
Pharmacy,Anticoagulation,PHR-0001,Enoxaparin 60mg,Sanofi,38.00,40.00,2400,91200.00,0.95,0.00,Below Market
Pharmacy,Anticoagulation,PHR-0002,Warfarin 5mg,Bristol Myers Squibb,0.85,0.90,4800,4080.00,0.94,0.00,Below Market
Pharmacy,Anticoagulation,PHR-0003,Rivaroxaban 20mg,Janssen,12.50,13.00,1400,17500.00,0.96,0.00,Below Market
Imaging,Mammography,IMG-1101,Mammography Film,Carestream Health,6.50,7.00,1200,7800.00,0.93,0.00,Below Market
Imaging,Mammography,IMG-1102,Biopsy Needle 14G,Hologic,95.00,100.00,280,26600.00,0.95,0.00,Below Market
General Med/Surg,Feeding,GMS-6640,Enteral Feeding Tube,Abbott Nutrition,28.00,30.00,950,26600.00,0.93,0.00,Below Market
General Med/Surg,Feeding,GMS-6641,Feeding Pump Set,Moog Medical,45.00,48.00,680,30600.00,0.94,0.00,Below Market
General Med/Surg,Feeding,GMS-6642,Enteral Formula Can,Nestle Health,8.50,9.00,4200,35700.00,0.94,0.00,Below Market
Cardiology,Monitoring,CRT-0101,Cardiac Monitor Electrode,3M Healthcare,0.85,0.90,12000,10200.00,0.94,0.00,Below Market
Cardiology,Monitoring,CRT-0102,Holter Monitor Lead Set,GE Healthcare,85.00,88.00,320,27200.00,0.97,0.00,Below Market
Orthopedics,Casting,ORT-9901,Casting Tape,BSN Medical,22.00,23.00,950,20900.00,0.96,0.00,Below Market
Orthopedics,Casting,ORT-9902,Cast Padding,3M Healthcare,8.50,9.00,1800,15300.00,0.94,0.00,Below Market
Lab Supplies,Serology,LAB-0001,Rapid Test Kit,Abbott Diagnostics,12.50,13.00,1400,17500.00,0.96,0.00,Below Market
Lab Supplies,Serology,LAB-0002,ELISA Plate,Thermo Fisher,45.00,48.00,680,30600.00,0.94,0.00,Below Market
Pharmacy,Gastrointestinal,PHR-9801,PPI 40mg,AstraZeneca,2.80,3.00,4200,11760.00,0.93,0.00,Below Market
Pharmacy,Gastrointestinal,PHR-9802,Antiemetic IV,GSK,18.00,19.00,2800,50400.00,0.95,0.00,Below Market
Imaging,Fluoroscopy,IMG-0001,C-Arm Drape,Medline,12.50,13.00,950,11875.00,0.96,0.00,Below Market
Imaging,Fluoroscopy,IMG-0002,Lead Glasses,Phillips Safety,185.00,195.00,48,8880.00,0.95,0.00,Below Market
General Med/Surg,Ostomy,GMS-5550,Ostomy Pouch,ConvaTec,8.50,9.00,2400,20400.00,0.94,0.00,Below Market
General Med/Surg,Ostomy,GMS-5551,Ostomy Barrier,Hollister,6.50,7.00,2800,18200.00,0.93,0.00,Below Market
